,period_begin,period_end,duration,total_homes_sold,median_sale_price,median_days_to_close,price_drops,percent_active_listings_with_price_drops,pending_sales,total_new_listings,average_new_listings,median_new_listing_price,inventory,total_active_listings,age_of_inventory,homes_delisted,median_active_list_price,avg_offer_to_list,median_days_on_market,months_of_supply,percent_total_price_drops_of_inventory
958,2019-05-06,2019-05-12,1 weeks,510.0,202000.0,29.0,447.0,0.055191999012223734,487.0,844.0,844.0,234949.5,7406.0,8099.0,46.0,119.0,249900.0,1.0043628539691851,36.0,15.880392156862746,0.060356467728868476
1382,2017-11-13,2017-11-19,1 weeks,566.0,200000.0,34.0,159.0,0.017461014715572154,333.0,491.0,491.0,179999.0,8524.0,9106.0,73.0,147.0,205000.0,0.980213986824592,50.0,16.088339222614838,0.018653214453308302
3254,2018-10-01,2018-10-07,1 weeks,419.0,185000.0,34.0,656.0,0.08709506107275622,375.0,698.0,698.0,205000.0,6911.0,7532.0,58.0,165.0,219700.0,0.9531616166064284,28.0,17.976133651551315,0.09492114021125743
4132,2020-08-10,2020-08-16,1 weeks,608.0,250000.0,31.0,411.0,0.05733017157204631,491.0,787.0,787.0,250000.0,6442.0,7169.0,46.0,143.0,279900.0,0.9644999202639368,31.0,11.791118421052632,0.06380006209251785
4136,2020-09-14,2020-09-20,1 weeks,662.0,245000.0,32.0,466.0,0.06261757592045149,536.0,809.0,809.0,275000.0,6696.0,7442.0,46.0,127.0,285000.0,0.9760238230421868,28.0,11.241691842900302,0.06959378733572281
5877,2018-11-26,2018-12-02,1 weeks,711.0,199999.0,34.0,372.0,0.051853916922219134,325.0,504.0,504.0,193750.0,6521.0,7174.0,66.0,225.0,212000.0,0.9630610362945554,32.0,10.090014064697607,0.05704646526606349
7648,2019-11-04,2019-11-10,1 weeks,409.0,220000.0,28.0,477.0,0.060318664643399085,403.0,620.0,620.0,214900.0,7204.0,7908.0,60.0,168.0,249000.0,0.9592631464016133,42.0,19.33496332518337,0.06621321488062187
12273,2018-01-15,2018-01-21,1 weeks,424.0,185500.0,34.0,129.0,0.017501017501017502,297.0,526.0,526.0,175000.0,6768.0,7371.0,91.0,148.0,199900.0,0.9731032199525622,68.5,17.38443396226415,0.019060283687943262
16927,2018-07-09,2018-07-15,1 weeks,592.0,220500.0,36.0,413.0,0.05538420276250503,440.0,731.0,731.0,219000.0,6778.0,7457.0,55.0,145.0,227500.0,0.9655496354096099,28.0,12.596283783783786,0.06093242844496901
17856,2020-02-24,2020-03-01,1 weeks,622.0,225000.0,28.0,315.0,0.04716274891450816,355.0,727.0,727.0,250000.0,6039.0,6679.0,49.0,135.0,250000.0,0.9835741667885258,56.0,10.737942122186496,0.05216095380029806
